        46.75 ,  92.64
       42.18  , 88.81
      41.86   ,86.44
          43.29,    88.8
         42.12  , 86.38
         41.78   ,89.87
          41.47   ,88.53
          42.21   ,91.11
         41.03   ,81.22
        39.84   ,83.72
        39.15   ,84.54
         39.2   ,85.66
        39.52   ,85.87
        38.05   ,85.23
        39.16   ,87.75
        38.59   ,92.62
        36.54   ,91.56
        37.03   ,84.12
         36.6   ,81.22
        37.58   ,83.35
        36.48   ,82.29
        38.25   ,80.92
        37.26   ,76.92
        38.59   ,78.35
         40.89   ,74.57
        37.66    ,71.6
        38.79   ,65.64
        38.78   ,62.09
         36.7   ,61.66
          35.1   ,77.14
         33.75   ,75.47
         34.29   ,70.37
         32.26   ,66.71
         30.97   ,64.37
         28.2   ,56.09
      24.58   ,50.25
        20.25  , 43.65
         17.09  , 38.01
       14.35    ,31.4
        13.11   ,29.45
      9.5   ,29.02
    9.74   ,19.05
   9.34   ,20.36
          7.51,   17.68
        8.35   ,19.23
         6.25   ,14.92
   5.45   ,11.44
 3.79   ,12.69
